"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","11248","1000","2012-01-01T00:00:00","TAVG","GHCND:USC00140010",",7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140200",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140326",",7","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140365",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140408",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140439",",7","1.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140482",",7","-0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140682",",7","0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140693",",7","0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140865",",7","0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00140957",",7","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141029","3,7","0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141179",",7","-0.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141351",",7","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141383",",K","1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141428",",7","3.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141435",",7","0.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141522",",7","1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141559",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141612",",7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141673",",7","4.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141699",",7","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141704",",K","3.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141740",",7","4.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141761",",7","0.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141858",",7","1.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141867",",7","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00141874","2,7","-0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142401",",7","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142432",",7","4.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142548","1,7","4.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142602",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142622",",7","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142835",",7","3.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142894",",7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00142980",",K","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143008",",7","2.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143074",",7","3.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143158",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143218",",7","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143239",",7","2.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143523",",7","3.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143527",",K","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143545",",7","2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143554",",7","1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143594",",7","0.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143634",",7","0.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143665",",7","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143759","2,7","0.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143810",",7","0.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143822",",7","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143837",",7","0.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143847",",7","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143855","4,K","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143867",",7","2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143929",",7","2.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143930",",7","2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143954",",7","4.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00143984",",7","2.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144087",",K","1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144104","1,7","1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144114","2,7","2.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144178",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144313",",7","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144331",",7","1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144341",",7","3.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144464",",7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144559",",7","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144589","2,7","0.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144695",",7","3.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144712",",7","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00144972","1,7","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145039",",7","1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145063",",7","0.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145127",",7","0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145152",",7","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145171",",K","2.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145210",",7","3.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145306",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145363",",7","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145421",",7","3.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145536",",7","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145692",",K","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145744",",7","2.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145852",",7","-0.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145870",",7","3.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145888",",7","0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00145906",",7","0.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146076",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146084",",7","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146128",",7","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146242",",7","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146333",",7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146414",",7","4.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146435",",7","1.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146498",",7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146549",",7","2.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146637",",7","1.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00146808","3,7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147043",",7","0.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147050",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147271",",K","0.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147305",",7","4.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147397",",7","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147534",",7","3.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147542",",7","0.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147546",",7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147796",",7","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00147922","1,7","3.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148038","1,7","1.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148061",",7","1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148171",",7","2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148235",",7","1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148240","2,7","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148250",",7","1.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148259",",7","0.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148287",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148341",",7","1.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148495",",7","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148535",",7","1.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148563",",7","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148578",",7","-0.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148648",",K","2.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148670",",7","3.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148847",",7","3.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148914",",7","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148946",",7","1.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00148964",",7","3.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USC00149080",",7","2.7"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000KCIM",",U","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000KSTA",",U","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USR0000KTAL",",U","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003067",",R","1.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003919",",W","2.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003928",",X","3.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003936",",A","1.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003957",",X","3.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003967",",W","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003974",",W","3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003997",",W","1.1"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00003998",",W","3.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013920",",W","1.9"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013932",",W","4.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013980",",7","3.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013981",",W","3.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013984",",X","1.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013985",",X","2.5"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013986",",W","2.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013989",",W","2.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013993",",X","0.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00013996",",X","2.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00023064",",W","1.8"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00023065",",X","1.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00053974","3,R","1.3"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00053989",",W","4.0"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00093909",",W","2.2"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00093967",",W","5.4"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00093990",",W","1.6"
"","","","2012-01-01T00:00:00","TAVG","GHCND:USW00093997",",W","1.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140010",",7","3.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140200",",7","0.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140326",",7","2.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140365",",7","2.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140408",",7","2.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140439",",7","0.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140482",",7","0.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140682",",7","0.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140693",",7","1.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140810",",7","5.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140865",",7","1.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00140957",",7","3.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141029","1,7","-0.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141104",",7","2.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141179",",7","-0.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141351",",7","2.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141383",",K","1.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141428",",7","4.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141435",",7","1.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141522",",7","2.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141559",",7","1.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141612",",7","3.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141673",",7","5.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141699",",7","0.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141704",",K","4.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141740",",7","5.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141761",",7","1.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141858",",7","2.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141867",",7","2.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00141874",",7","0.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142401",",7","3.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142432",",7","3.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142548","1,7","4.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142602",",7","2.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142622",",7","3.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142835",",7","5.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00142980",",K","1.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143074",",7","5.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143158",",7","0.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143218",",7","3.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143239","2,7","2.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143523",",7","3.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143527",",K","1.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143545",",7","3.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143554",",7","1.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143594",",7","1.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143634","1,7","1.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143665",",7","0.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143759","2,7","1.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143810",",7","1.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143822",",7","3.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143837",",7","0.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143847",",7","3.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143867",",7","3.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143929",",7","2.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143930",",7","2.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143954",",7","5.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00143984",",7","4.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144087",",7","2.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144104",",7","3.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144114",",7","2.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144178",",7","1.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144313",",7","2.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144341",",7","4.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144464",",7","3.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144559","1,7","3.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144589",",7","2.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144665","3,7","1.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144695",",7","3.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144712",",7","1.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00144972",",7","2.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145039",",7","2.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145063",",7","0.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145127",",7","0.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145152",",7","2.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145171",",7","2.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145210",",7","4.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145306",",7","2.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145363",",7","2.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145421",",7","3.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145536",",7","4.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145692",",7","1.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145744",",7","2.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145852",",7","-0.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145856",",7","0.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145870",",7","3.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145888",",7","0.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00145906",",7","0.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146076",",7","2.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146084",",7","4.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146128",",7","3.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146242",",7","4.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146333","1,7","2.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146414",",7","5.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146435",",7","0.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146498","2,7","4.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146549",",7","2.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146637",",7","0.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00146808","2,7","3.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147043",",7","1.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147050",",7","1.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147093",",7","-0.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147271",",K","1.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147305",",7","4.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147397",",7","1.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147534",",7","3.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147542",",7","0.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147546",",7","2.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147796",",7","2.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00147922","1,7","3.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148038",",7","2.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148061",",7","2.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148171",",7","3.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148235",",7","1.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148240",",7","0.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148250",",7","2.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148259",",7","2.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148287",",7","2.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148341",",7","3.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148495",",7","1.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148535",",7","0.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148563",",7","2.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148578",",7","1.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148648",",K","1.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148670",",7","4.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148847",",7","4.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148914",",7","2.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148946",",7","2.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00148964",",7","3.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USC00149080",",7","3.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USR0000KCIM",",U","2.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USR0000KSTA",",U","3.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USR0000KTAL",",U","3.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003067",",R","1.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003919","1,W","2.8"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003928",",X","4.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003936",",A","3.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003957",",X","4.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003967","1,W","3.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003974","1,W","4.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003997","1,W","2.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00003998","1,W","5.2"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013920","1,W","3.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013932","1,W","4.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013980",",7","3.9"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013981","1,W","4.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013984",",X","2.3"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013985",",X","2.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013986","1,W","3.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013989","1,W","3.6"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013993",",X","2.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00013996",",X","4.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00023064","1,W","1.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00023065",",X","0.4"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00053974",",R","3.0"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00093909","1,W","3.5"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00093967","1,W","6.1"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00093990","1,W","0.7"
"","","","2012-02-01T00:00:00","TAVG","GHCND:USW00093997","1,W","1.6"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140010",",7","15.0"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140200",",7","11.1"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140326",",7","12.6"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140365",",7","12.4"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140408",",7","13.9"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140439",",7","10.6"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140482",",7","12.3"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140682",",7","12.6"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140693",",7","12.7"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140810",",7","14.9"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140865","1,7","11.5"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00140957",",7","13.6"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141179",",7","10.9"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141351",",7","12.9"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141383",",K","11.5"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141428",",7","14.2"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141435",",7","12.7"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141522",",7","11.9"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141559",",7","12.8"
"","","","2012-03-01T00:00:00","TAVG","GHCND:USC00141612",",7","14.1"
