date,datatype,station,attributes,value
2015-01-01T00:00:00,TAVG,GHCND:USC00337857,"1,7",-0.7
2015-01-01T00:00:00,TAVG,GHCND:USC00460102,",7",-1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00460202,"3,7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00460509,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00460527,",7",-5.0
2015-01-01T00:00:00,TAVG,GHCND:USC00460580,"4,7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00460925,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00461215,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00461220,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00461290,"3,7",-3.3
2015-01-01T00:00:00,TAVG,GHCND:USC00461324,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00461397,",7",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USC00461579,",7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00461677,"2,7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00462211,",7",-6.2
2015-01-01T00:00:00,TAVG,GHCND:USC00462522,"1,7",-0.5
2015-01-01T00:00:00,TAVG,GHCND:USC00462717,",7",-3.6
2015-01-01T00:00:00,TAVG,GHCND:USC00462920,"1,7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00463251,",7",-4.0
2015-01-01T00:00:00,TAVG,GHCND:USC00463361,"2,7",-1.5
2015-01-01T00:00:00,TAVG,GHCND:USC00463464,",7",-5.7
2015-01-01T00:00:00,TAVG,GHCND:USC00463544,"2,7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00463648,",7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00463798,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00463940,"2,7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00464397,"3,7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00464840,",7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00465224,",7",-2.8
2015-01-01T00:00:00,TAVG,GHCND:USC00465353,",7",0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00465365,",7",0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00465563,",7",0.0
2015-01-01T00:00:00,TAVG,GHCND:USC00465706,",7",-1.6
2015-01-01T00:00:00,TAVG,GHCND:USC00465875,"1,7",-4.4
2015-01-01T00:00:00,TAVG,GHCND:USC00465963,",7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00466248,",7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00466284,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00466325,",7",-0.6
2015-01-01T00:00:00,TAVG,GHCND:USC00466442,"1,7",-3.1
2015-01-01T00:00:00,TAVG,GHCND:USC00466600,"1,7",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USC00466867,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00466912,",7",-1.2
2015-01-01T00:00:00,TAVG,GHCND:USC00466952,",7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00467018,",7",-3.0
2015-01-01T00:00:00,TAVG,GHCND:USC00467029,"5,7",0.1
2015-01-01T00:00:00,TAVG,GHCND:USC00467372,"2,7",-0.4
2015-01-01T00:00:00,TAVG,GHCND:USC00467649,",7",-2.5
2015-01-01T00:00:00,TAVG,GHCND:USC00467730,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00467743,"1,7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00467785,",7",-3.2
2015-01-01T00:00:00,TAVG,GHCND:USC00467852,",7",-1.0
2015-01-01T00:00:00,TAVG,GHCND:USC00468191,",7",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00468308,",7",-6.9
2015-01-01T00:00:00,TAVG,GHCND:USC00468384,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00468522,"1,7",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USC00468614,"2,7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USC00468662,"5,7",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USC00468777,",7",-5.4
2015-01-01T00:00:00,TAVG,GHCND:USC00468986,"1,7",-2.9
2015-01-01T00:00:00,TAVG,GHCND:USC00469281,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00469458,",7",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USC00469482,"1,7",-2.6
2015-01-01T00:00:00,TAVG,GHCND:USC00469522,"1,7",-1.4
2015-01-01T00:00:00,TAVG,GHCND:USC00469610,"4,7",1.7
2015-01-01T00:00:00,TAVG,GHCND:USC00469683,",7",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USR0000VVIE,",U",-2.0
2015-01-01T00:00:00,TAVG,GHCND:USW00003733,",R",-5.3
2015-01-01T00:00:00,TAVG,GHCND:USW00003802,",W",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USW00003804,",W",-1.7
2015-01-01T00:00:00,TAVG,GHCND:USW00003859,",W",0.6
2015-01-01T00:00:00,TAVG,GHCND:USW00003860,",W",-0.3
2015-01-01T00:00:00,TAVG,GHCND:USW00003872,",W",-1.1
2015-01-01T00:00:00,TAVG,GHCND:USW00013729,",W",-2.4
2015-01-01T00:00:00,TAVG,GHCND:USW00013734,",W",-0.9
2015-01-01T00:00:00,TAVG,GHCND:USW00013736,",W",-1.9
2015-01-01T00:00:00,TAVG,GHCND:USW00013866,",W",0.3
2015-01-01T00:00:00,TAVG,GHCND:USW00013867,",7",-1.8
2015-01-01T00:00:00,TAVG,GHCND:USW00014894,",W",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USC00337857,",7",-4.1
2015-02-01T00:00:00,TAVG,GHCND:USC00460102,",7",-4.6
2015-02-01T00:00:00,TAVG,GHCND:USC00460202,"3,7",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USC00460509,",7",-8.3
2015-02-01T00:00:00,TAVG,GHCND:USC00460527,",7",-8.4
2015-02-01T00:00:00,TAVG,GHCND:USC00460580,",7",-7.2
2015-02-01T00:00:00,TAVG,GHCND:USC00460925,",7",-5.1
2015-02-01T00:00:00,TAVG,GHCND:USC00461215,",7",-6.7
2015-02-01T00:00:00,TAVG,GHCND:USC00461220,",7",-6.0
2015-02-01T00:00:00,TAVG,GHCND:USC00461290,",7",-7.5
2015-02-01T00:00:00,TAVG,GHCND:USC00461324,",7",-4.5
2015-02-01T00:00:00,TAVG,GHCND:USC00461397,",7",-8.1
2015-02-01T00:00:00,TAVG,GHCND:USC00461579,",7",-5.0
2015-02-01T00:00:00,TAVG,GHCND:USC00461677,"3,7",-6.1
2015-02-01T00:00:00,TAVG,GHCND:USC00462211,",7",-9.8
2015-02-01T00:00:00,TAVG,GHCND:USC00462522,"1,7",-4.1
2015-02-01T00:00:00,TAVG,GHCND:USC00462717,",7",-7.2
2015-02-01T00:00:00,TAVG,GHCND:USC00462920,",7",-5.1
2015-02-01T00:00:00,TAVG,GHCND:USC00463251,",7",-7.5
2015-02-01T00:00:00,TAVG,GHCND:USC00463361,"2,7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00463464,",7",-9.3
2015-02-01T00:00:00,TAVG,GHCND:USC00463544,"1,7",-4.9
2015-02-01T00:00:00,TAVG,GHCND:USC00463648,",7",-5.7
2015-02-01T00:00:00,TAVG,GHCND:USC00463798,",7",-6.6
2015-02-01T00:00:00,TAVG,GHCND:USC00463940,"3,7",-5.5
2015-02-01T00:00:00,TAVG,GHCND:USC00464200,"2,7",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USC00464397,"1,7",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USC00464840,",7",-5.4
2015-02-01T00:00:00,TAVG,GHCND:USC00465224,",7",-6.5
2015-02-01T00:00:00,TAVG,GHCND:USC00465353,"2,7",-2.2
2015-02-01T00:00:00,TAVG,GHCND:USC00465365,",7",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USC00465563,",7",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USC00465672,"4,7",-7.5
2015-02-01T00:00:00,TAVG,GHCND:USC00465706,",7",-4.4
2015-02-01T00:00:00,TAVG,GHCND:USC00465875,",7",-8.5
2015-02-01T00:00:00,TAVG,GHCND:USC00465963,",7",-6.9
2015-02-01T00:00:00,TAVG,GHCND:USC00466248,",7",-6.2
2015-02-01T00:00:00,TAVG,GHCND:USC00466284,",7",-7.3
2015-02-01T00:00:00,TAVG,GHCND:USC00466325,",7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00466442,"4,7",-8.0
2015-02-01T00:00:00,TAVG,GHCND:USC00466600,"2,7",-4.5
2015-02-01T00:00:00,TAVG,GHCND:USC00466867,",7",-5.0
2015-02-01T00:00:00,TAVG,GHCND:USC00466912,",7",-3.9
2015-02-01T00:00:00,TAVG,GHCND:USC00466952,",7",-3.2
2015-02-01T00:00:00,TAVG,GHCND:USC00467018,"1,7",-6.8
2015-02-01T00:00:00,TAVG,GHCND:USC00467372,"3,7",-4.9
2015-02-01T00:00:00,TAVG,GHCND:USC00467552,"2,7",-4.7
2015-02-01T00:00:00,TAVG,GHCND:USC00467649,"1,7",-5.9
2015-02-01T00:00:00,TAVG,GHCND:USC00467730,",7",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USC00467743,",7",-6.4
2015-02-01T00:00:00,TAVG,GHCND:USC00467785,",7",-6.9
2015-02-01T00:00:00,TAVG,GHCND:USC00467852,"1,7",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USC00467918,"1,7",-6.7
2015-02-01T00:00:00,TAVG,GHCND:USC00468191,"2,7",-5.4
2015-02-01T00:00:00,TAVG,GHCND:USC00468308,",7",-10.2
2015-02-01T00:00:00,TAVG,GHCND:USC00468384,",7",-6.0
2015-02-01T00:00:00,TAVG,GHCND:USC00468522,",7",-5.9
2015-02-01T00:00:00,TAVG,GHCND:USC00468614,"2,7",-5.8
2015-02-01T00:00:00,TAVG,GHCND:USC00468662,"3,7",-4.0
2015-02-01T00:00:00,TAVG,GHCND:USC00468777,",7",-9.1
2015-02-01T00:00:00,TAVG,GHCND:USC00468986,",7",-6.8
2015-02-01T00:00:00,TAVG,GHCND:USC00469281,",7",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USC00469458,"1,7",-6.5
2015-02-01T00:00:00,TAVG,GHCND:USC00469482,",7",-6.7
2015-02-01T00:00:00,TAVG,GHCND:USC00469522,",7",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USC00469683,",7",-3.8
2015-02-01T00:00:00,TAVG,GHCND:USR0000VVIE,",U",-5.2
2015-02-01T00:00:00,TAVG,GHCND:USW00003733,",R",-8.5
2015-02-01T00:00:00,TAVG,GHCND:USW00003802,",W",-5.4
2015-02-01T00:00:00,TAVG,GHCND:USW00003804,",W",-5.1
2015-02-01T00:00:00,TAVG,GHCND:USW00003859,",W",-3.0
2015-02-01T00:00:00,TAVG,GHCND:USW00003860,",W",-3.7
2015-02-01T00:00:00,TAVG,GHCND:USW00003872,",W",-4.8
2015-02-01T00:00:00,TAVG,GHCND:USW00013729,"2,W",-6.6
2015-02-01T00:00:00,TAVG,GHCND:USW00013734,",W",-3.3
2015-02-01T00:00:00,TAVG,GHCND:USW00013736,"1,W",-5.2
2015-02-01T00:00:00,TAVG,GHCND:USW00013866,",W",-3.5
2015-02-01T00:00:00,TAVG,GHCND:USW00013867,"1,7",-5.0
2015-02-01T00:00:00,TAVG,GHCND:USW00014894,",W",-6.9
2015-03-01T00:00:00,TAVG,GHCND:USC00337857,"3,7",6.7
2015-03-01T00:00:00,TAVG,GHCND:USC00460102,"3,7",5.1
2015-03-01T00:00:00,TAVG,GHCND:USC00460202,"1,7",5.0
2015-03-01T00:00:00,TAVG,GHCND:USC00460509,",7",1.5
2015-03-01T00:00:00,TAVG,GHCND:USC00460527,",7",0.8
2015-03-01T00:00:00,TAVG,GHCND:USC00460580,"3,7",3.8
2015-03-01T00:00:00,TAVG,GHCND:USC00460925,",7",5.3
2015-03-01T00:00:00,TAVG,GHCND:USC00461215,",7",2.5
2015-03-01T00:00:00,TAVG,GHCND:USC00461220,",7",3.8
2015-03-01T00:00:00,TAVG,GHCND:USC00461324,",7",3.4
2015-03-01T00:00:00,TAVG,GHCND:USC00461397,",7",1.4
2015-03-01T00:00:00,TAVG,GHCND:USC00461579,",7",5.5
2015-03-01T00:00:00,TAVG,GHCND:USC00461677,"1,7",3.9
2015-03-01T00:00:00,TAVG,GHCND:USC00462211,",7",-0.1
2015-03-01T00:00:00,TAVG,GHCND:USC00462522,"1,7",6.2
2015-03-01T00:00:00,TAVG,GHCND:USC00462717,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00462920,"3,7",4.7
2015-03-01T00:00:00,TAVG,GHCND:USC00463251,",7",1.8
2015-03-01T00:00:00,TAVG,GHCND:USC00463361,"1,7",4.2
2015-03-01T00:00:00,TAVG,GHCND:USC00463464,",7",0.8
2015-03-01T00:00:00,TAVG,GHCND:USC00463544,"2,7",4.8
2015-03-01T00:00:00,TAVG,GHCND:USC00463648,",7",3.8
2015-03-01T00:00:00,TAVG,GHCND:USC00463798,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00463940,"2,7",3.9
2015-03-01T00:00:00,TAVG,GHCND:USC00464200,",7",4.4
2015-03-01T00:00:00,TAVG,GHCND:USC00464397,"3,7",5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00464840,",7",3.3
2015-03-01T00:00:00,TAVG,GHCND:USC00465002,"1,7",4.1
2015-03-01T00:00:00,TAVG,GHCND:USC00465224,",7",3.6
2015-03-01T00:00:00,TAVG,GHCND:USC00465353,"1,7",7.3
2015-03-01T00:00:00,TAVG,GHCND:USC00465365,"1,7",6.3
2015-03-01T00:00:00,TAVG,GHCND:USC00465563,"1,7",6.4
2015-03-01T00:00:00,TAVG,GHCND:USC00465672,"2,7",1.3
2015-03-01T00:00:00,TAVG,GHCND:USC00465706,",7",3.3
2015-03-01T00:00:00,TAVG,GHCND:USC00465875,",7",2.3
2015-03-01T00:00:00,TAVG,GHCND:USC00465963,",7",2.5
2015-03-01T00:00:00,TAVG,GHCND:USC00466248,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00466284,",7",2.8
2015-03-01T00:00:00,TAVG,GHCND:USC00466325,",7",5.5
2015-03-01T00:00:00,TAVG,GHCND:USC00466442,"2,7",1.6
2015-03-01T00:00:00,TAVG,GHCND:USC00466600,"1,7",5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00466867,",7",4.0
2015-03-01T00:00:00,TAVG,GHCND:USC00466952,"1,7",4.9
2015-03-01T00:00:00,TAVG,GHCND:USC00467018,",7",1.9
2015-03-01T00:00:00,TAVG,GHCND:USC00467029,"1,7",5.4
2015-03-01T00:00:00,TAVG,GHCND:USC00467552,"2,7",5.1
2015-03-01T00:00:00,TAVG,GHCND:USC00467649,"3,7",3.5
2015-03-01T00:00:00,TAVG,GHCND:USC00467730,"1,7",3.6
2015-03-01T00:00:00,TAVG,GHCND:USC00467785,",7",2.8
2015-03-01T00:00:00,TAVG,GHCND:USC00467852,",7",5.7
2015-03-01T00:00:00,TAVG,GHCND:USC00467918,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00468191,"1,7",4.7
2015-03-01T00:00:00,TAVG,GHCND:USC00468308,",7",-0.9
2015-03-01T00:00:00,TAVG,GHCND:USC00468384,",7",4.1
2015-03-01T00:00:00,TAVG,GHCND:USC00468522,",7",4.0
2015-03-01T00:00:00,TAVG,GHCND:USC00468614,"2,7",3.6
2015-03-01T00:00:00,TAVG,GHCND:USC00468662,",7",4.2
2015-03-01T00:00:00,TAVG,GHCND:USC00468777,",7",0.6
2015-03-01T00:00:00,TAVG,GHCND:USC00468986,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00469281,",7",2.9
2015-03-01T00:00:00,TAVG,GHCND:USC00469458,"2,7",3.3
2015-03-01T00:00:00,TAVG,GHCND:USC00469482,"1,7",2.4
2015-03-01T00:00:00,TAVG,GHCND:USC00469522,"2,7",4.5
2015-03-01T00:00:00,TAVG,GHCND:USC00469683,",7",5.5
2015-03-01T00:00:00,TAVG,GHCND:USR0000VVIE,"2,U",5.7
2015-03-01T00:00:00,TAVG,GHCND:USW00003733,",R",1.4
2015-03-01T00:00:00,TAVG,GHCND:USW00003802,"1,W",4.3
2015-03-01T00:00:00,TAVG,GHCND:USW00003804,",W",4.9
2015-03-01T00:00:00,TAVG,GHCND:USW00003859,",W",7.7
2015-03-01T00:00:00,TAVG,GHCND:USW00003860,",W",6.9
2015-03-01T00:00:00,TAVG,GHCND:USW00003872,",W",6.0
2015-03-01T00:00:00,TAVG,GHCND:USW00013729,",W",3.9
2015-03-01T00:00:00,TAVG,GHCND:USW00013734,",W",4.9
2015-03-01T00:00:00,TAVG,GHCND:USW00013736,",W",4.6
2015-03-01T00:00:00,TAVG,GHCND:USW00013866,",W",7.2
2015-03-01T00:00:00,TAVG,GHCND:USW00014894,",W",2.9
2015-04-01T00:00:00,TAVG,GHCND:USC00337857,"2,7",12.9
2015-04-01T00:00:00,TAVG,GHCND:USC00460102,",7",12.1
2015-04-01T00:00:00,TAVG,GHCND:USC00460202,"3,7",12.5
2015-04-01T00:00:00,TAVG,GHCND:USC00460509,",7",8.6
2015-04-01T00:00:00,TAVG,GHCND:USC00460527,",7",8.2
2015-04-01T00:00:00,TAVG,GHCND:USC00460580,"2,7",9.9
2015-04-01T00:00:00,TAVG,GHCND:USC00460925,",7",11.5
2015-04-01T00:00:00,TAVG,GHCND:USC00461215,",7",9.8
2015-04-01T00:00:00,TAVG,GHCND:USC00461220,"1,7",11.4
2015-04-01T00:00:00,TAVG,GHCND:USC00461324,",7",12.1
2015-04-01T00:00:00,TAVG,GHCND:USC00461397,",7",8.5
2015-04-01T00:00:00,TAVG,GHCND:USC00461579,",7",12.8
2015-04-01T00:00:00,TAVG,GHCND:USC00461677,"3,7",11.1
2015-04-01T00:00:00,TAVG,GHCND:USC00462211,",7",7.6
2015-04-01T00:00:00,TAVG,GHCND:USC00462522,"1,7",13.5
2015-04-01T00:00:00,TAVG,GHCND:USC00462920,"4,7",13.2
2015-04-01T00:00:00,TAVG,GHCND:USC00463251,",7",8.6
2015-04-01T00:00:00,TAVG,GHCND:USC00463361,",7",12.1
2015-04-01T00:00:00,TAVG,GHCND:USC00463464,"1,7",8.1
2015-04-01T00:00:00,TAVG,GHCND:USC00463544,"3,7",12.3
2015-04-01T00:00:00,TAVG,GHCND:USC00463648,"1,7",11.8
2015-04-01T00:00:00,TAVG,GHCND:USC00463798,"1,7",9.8
2015-04-01T00:00:00,TAVG,GHCND:USC00463940,",7",11.5
2015-04-01T00:00:00,TAVG,GHCND:USC00464200,"3,7",12.7
2015-04-01T00:00:00,TAVG,GHCND:USC00464397,"1,7",13.0
2015-04-01T00:00:00,TAVG,GHCND:USC00464840,",7",10.6
2015-04-01T00:00:00,TAVG,GHCND:USC00465002,"4,7",11.7
2015-04-01T00:00:00,TAVG,GHCND:USC00465224,",7",10.5
2015-04-01T00:00:00,TAVG,GHCND:USC00465353,",7",14.4
2015-04-01T00:00:00,TAVG,GHCND:USC00465365,"2,7",13.1
2015-04-01T00:00:00,TAVG,GHCND:USC00465563,"2,7",13.8
2015-04-01T00:00:00,TAVG,GHCND:USC00465626,"3,7",11.0
2015-04-01T00:00:00,TAVG,GHCND:USC00465706,",7",12.0
2015-04-01T00:00:00,TAVG,GHCND:USC00465875,",7",9.2
2015-04-01T00:00:00,TAVG,GHCND:USC00465963,",7",10.8
2015-04-01T00:00:00,TAVG,GHCND:USC00466163,"4,7",11.9
2015-04-01T00:00:00,TAVG,GHCND:USC00466248,",7",11.5
2015-04-01T00:00:00,TAVG,GHCND:USC00466284,",7",10.1
2015-04-01T00:00:00,TAVG,GHCND:USC00466325,",7",12.2
2015-04-01T00:00:00,TAVG,GHCND:USC00466867,"1,7",11.9
2015-04-01T00:00:00,TAVG,GHCND:USC00466912,",7",12.7
2015-04-01T00:00:00,TAVG,GHCND:USC00466952,",7",12.2
2015-04-01T00:00:00,TAVG,GHCND:USC00467018,",7",10.8
2015-04-01T00:00:00,TAVG,GHCND:USC00467029,"2,7",12.6
2015-04-01T00:00:00,TAVG,GHCND:USC00467372,"2,7",13.3
2015-04-01T00:00:00,TAVG,GHCND:USC00467649,"4,7",11.8
2015-04-01T00:00:00,TAVG,GHCND:USC00467730,"2,7",11.4
2015-04-01T00:00:00,TAVG,GHCND:USC00467743,"2,7",10.9
2015-04-01T00:00:00,TAVG,GHCND:USC00467785,"4,7",11.1
2015-04-01T00:00:00,TAVG,GHCND:USC00467918,",7",11.1
2015-04-01T00:00:00,TAVG,GHCND:USC00468191,",7",11.2
2015-04-01T00:00:00,TAVG,GHCND:USC00468308,",7",6.1
2015-04-01T00:00:00,TAVG,GHCND:USC00468384,",7",11.4
2015-04-01T00:00:00,TAVG,GHCND:USC00468522,",7",11.4
2015-04-01T00:00:00,TAVG,GHCND:USC00468614,"3,7",11.8
2015-04-01T00:00:00,TAVG,GHCND:USC00468662,"1,7",12.1
2015-04-01T00:00:00,TAVG,GHCND:USC00468777,",7",8.5
2015-04-01T00:00:00,TAVG,GHCND:USC00468986,"1,7",11.1
2015-04-01T00:00:00,TAVG,GHCND:USC00469281,",7",10.0
2015-04-01T00:00:00,TAVG,GHCND:USC00469458,",7",11.4
2015-04-01T00:00:00,TAVG,GHCND:USC00469522,",7",11.1
2015-04-01T00:00:00,TAVG,GHCND:USC00469683,",7",13.2
2015-04-01T00:00:00,TAVG,GHCND:USR0000VVIE,",U",11.7
2015-04-01T00:00:00,TAVG,GHCND:USW00003733,",R",8.1
2015-04-01T00:00:00,TAVG,GHCND:USW00003802,",W",11.8
2015-04-01T00:00:00,TAVG,GHCND:USW00003804,",W",12.7
2015-04-01T00:00:00,TAVG,GHCND:USW00003859,",W",13.5
2015-04-01T00:00:00,TAVG,GHCND:USW00003860,",W",13.3
2015-04-01T00:00:00,TAVG,GHCND:USW00003872,",W",11.9
2015-04-01T00:00:00,TAVG,GHCND:USW00013729,",W",10.9
2015-04-01T00:00:00,TAVG,GHCND:USW00013734,",W",12.9
2015-04-01T00:00:00,TAVG,GHCND:USW00013736,",W",12.6
2015-04-01T00:00:00,TAVG,GHCND:USW00013866,",W",13.6
2015-04-01T00:00:00,TAVG,GHCND:USW00014894,"1,W",11.8
2015-05-01T00:00:00,TAVG,GHCND:USC00337857,",7",20.0
2015-05-01T00:00:00,TAVG,GHCND:USC00460102,",7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00460202,"4,7",18.8
2015-05-01T00:00:00,TAVG,GHCND:USC00460509,",7",15.4
2015-05-01T00:00:00,TAVG,GHCND:USC00460527,",7",14.9
2015-05-01T00:00:00,TAVG,GHCND:USC00460580,",7",15.9
2015-05-01T00:00:00,TAVG,GHCND:USC00460925,"1,7",17.1
2015-05-01T00:00:00,TAVG,GHCND:USC00461215,",7",16.4
2015-05-01T00:00:00,TAVG,GHCND:USC00461220,"4,7",18.8
2015-05-01T00:00:00,TAVG,GHCND:USC00461324,",7",18.7
2015-05-01T00:00:00,TAVG,GHCND:USC00461397,",7",15.1
2015-05-01T00:00:00,TAVG,GHCND:USC00461579,",7",19.5
2015-05-01T00:00:00,TAVG,GHCND:USC00462211,",7",15.0
2015-05-01T00:00:00,TAVG,GHCND:USC00462522,"1,7",19.5
2015-05-01T00:00:00,TAVG,GHCND:USC00462622,"5,7",18.8
2015-05-01T00:00:00,TAVG,GHCND:USC00462920,"2,7",19.5
2015-05-01T00:00:00,TAVG,GHCND:USC00463361,",7",19.1
2015-05-01T00:00:00,TAVG,GHCND:USC00463464,",7",14.4
2015-05-01T00:00:00,TAVG,GHCND:USC00463544,"3,7",19.1
2015-05-01T00:00:00,TAVG,GHCND:USC00463798,",7",16.4
2015-05-01T00:00:00,TAVG,GHCND:USC00463940,"1,7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00464200,",7",19.6
2015-05-01T00:00:00,TAVG,GHCND:USC00464397,"1,7",19.9
2015-05-01T00:00:00,TAVG,GHCND:USC00464840,",7",18.0
2015-05-01T00:00:00,TAVG,GHCND:USC00465002,",7",18.7
2015-05-01T00:00:00,TAVG,GHCND:USC00465224,",7",16.8
2015-05-01T00:00:00,TAVG,GHCND:USC00465353,",7",20.9
2015-05-01T00:00:00,TAVG,GHCND:USC00465365,"5,7",20.0
2015-05-01T00:00:00,TAVG,GHCND:USC00465563,"2,7",20.5
2015-05-01T00:00:00,TAVG,GHCND:USC00465626,",7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00465672,"4,7",14.2
2015-05-01T00:00:00,TAVG,GHCND:USC00465706,",7",19.4
2015-05-01T00:00:00,TAVG,GHCND:USC00465875,",7",16.4
2015-05-01T00:00:00,TAVG,GHCND:USC00465963,",7",17.8
2015-05-01T00:00:00,TAVG,GHCND:USC00466163,"5,7",18.8
2015-05-01T00:00:00,TAVG,GHCND:USC00466248,",7",19.4
2015-05-01T00:00:00,TAVG,GHCND:USC00466284,",7",17.0
2015-05-01T00:00:00,TAVG,GHCND:USC00466325,",7",18.0
2015-05-01T00:00:00,TAVG,GHCND:USC00466442,",7",17.9
2015-05-01T00:00:00,TAVG,GHCND:USC00466600,"3,7",17.7
2015-05-01T00:00:00,TAVG,GHCND:USC00466867,",7",18.9
2015-05-01T00:00:00,TAVG,GHCND:USC00466952,",7",19.6
2015-05-01T00:00:00,TAVG,GHCND:USC00467018,"1,7",18.0
2015-05-01T00:00:00,TAVG,GHCND:USC00467029,"4,7",18.9
2015-05-01T00:00:00,TAVG,GHCND:USC00467372,",7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00467649,"2,7",18.2
2015-05-01T00:00:00,TAVG,GHCND:USC00467730,",7",18.3
2015-05-01T00:00:00,TAVG,GHCND:USC00467743,",7",17.3
2015-05-01T00:00:00,TAVG,GHCND:USC00467785,"5,7",18.5
2015-05-01T00:00:00,TAVG,GHCND:USC00467918,",7",17.9
2015-05-01T00:00:00,TAVG,GHCND:USC00468191,",7",18.2
2015-05-01T00:00:00,TAVG,GHCND:USC00468308,",7",13.4
2015-05-01T00:00:00,TAVG,GHCND:USC00468384,",7",18.1
2015-05-01T00:00:00,TAVG,GHCND:USC00468522,",7",18.4
2015-05-01T00:00:00,TAVG,GHCND:USC00468614,",7",18.0
2015-05-01T00:00:00,TAVG,GHCND:USC00468662,",7",19.5
2015-05-01T00:00:00,TAVG,GHCND:USC00468777,",7",15.7
2015-05-01T00:00:00,TAVG,GHCND:USC00468986,"1,7",17.8
2015-05-01T00:00:00,TAVG,GHCND:USC00469281,",7",17.5
2015-05-01T00:00:00,TAVG,GHCND:USC00469458,"2,7",18.6
2015-05-01T00:00:00,TAVG,GHCND:USC00469522,",7",17.3
2015-05-01T00:00:00,TAVG,GHCND:USC00469683,"1,7",19.6
2015-05-01T00:00:00,TAVG,GHCND:USR0000VVIE,",U",18.1
2015-05-01T00:00:00,TAVG,GHCND:USW00003733,"1,R",15.2
2015-05-01T00:00:00,TAVG,GHCND:USW00003802,",W",18.9
2015-05-01T00:00:00,TAVG,GHCND:USW00003804,",W",19.5
2015-05-01T00:00:00,TAVG,GHCND:USW00003859,",W",19.7
2015-05-01T00:00:00,TAVG,GHCND:USW00003860,",W",19.9
2015-05-01T00:00:00,TAVG,GHCND:USW00003872,",W",18.4
2015-05-01T00:00:00,TAVG,GHCND:USW00013729,",W",17.4
