"metadata__resultset__offset","metadata__resultset__count","metadata__resultset__limit","results__date","results__datatype","results__station","results__attributes","results__value"
"1","6406","1000","2015-01-01T00:00:00","TAVG","GHCND:USC00210018",",7","-10.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210059",",7","-10.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210075",",7","-8.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210157",",7","-6.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210190",",7","-9.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210252",",7","-12.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210287",",7","-7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210355",",7","-8.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210515",",7","-12.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210667",",7","-8.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210809","3,7","-12.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210939",",7","-10.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210974","2,7","-9.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00210989",",7","-13.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211063",",7","-8.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211065",",7","-9.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211074",",7","-11.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211174",",7","-9.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211198",",7","-8.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211227",",7","-8.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211250",",7","-14.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211263",",7","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211374",",7","-11.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211422","4,7","-13.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211448",",7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211468",",7","-8.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211630",",7","-10.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211691",",7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00211891",",7","-11.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212023",",7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212088",",7","-8.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212142","1,7","-10.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212146","1,7","-11.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212250",",7","-11.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212500","1,7","-7.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212555","1,7","-14.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212576",",7","-15.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212645",",7","-12.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212842",",7","-10.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00212881",",7","-8.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213076",",7","-8.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213104",",7","-9.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213174",",7","-8.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213282",",7","-11.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213290",",7","-9.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213296",",7","-13.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213303",",7","-11.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213311",",7","-7.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213411",",7","-10.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213417",",7","-15.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00213567",",7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214077",",7","-14.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214093",",7","-12.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214106",",7","-11.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214176",",7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214191",",7","-14.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214306",",7","-15.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214373",",7","-9.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214453",",7","-8.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214534",",7","-7.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214546",",7","-7.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214652","2,7","-11.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214778",",7","-9.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214861",",7","-10.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214884",",7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214990",",7","-9.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00214994",",7","-7.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215204",",7","-6.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215325",",7","-9.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215392",",7","-9.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215400",",7","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215488",",7","-7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215563",",7","-8.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215586",",7","-9.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215615",",7","-9.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215638",",7","-9.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215838",",7","-7.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215888",",7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215902",",7","-10.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00215989",",7","-12.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216008","3,7","-7.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216211",",7","-14.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216287",",7","-8.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216547",",7","-9.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216565",",7","-7.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216612",",7","-11.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216654",",7","-8.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216787",",7","-12.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216795",",7","-11.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216822","1,7","-8.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216839",",7","-8.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00216920",",7","-9.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217107",",7","-8.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217149",",7","-10.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217184","3,7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217326",",7","-7.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217379",",Z","-8.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217405",",7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217460",",7","-11.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217502",",7","-8.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00217602",",7","-7.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218039",",7","-8.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218227",",7","-9.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218254",",7","-12.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218307",",7","-13.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218311",",7","-13.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218323",",7","-7.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218421",",7","-11.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218450",",7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218477",",7","-7.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218674",",7","-13.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218692","1,7","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218700","2,7","-13.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218808",",7","-8.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218907",",7","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218947",",7","-9.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00218986","1,7","-9.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219001",",7","-9.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219033",",7","-8.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219046",",7","-7.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219072","2,7","-8.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219134","1,7","-12.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219170",",7","-7.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219173",",7","-11.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00219249","2,7","-9.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00470124","1,7","-6.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00473038",",7","-6.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00477464","1,7","-9.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00478349","1,7","-9.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USC00478589",",7","-6.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MAGA",",U","-12.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MBAU",",U","-12.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MBDA",",U","-11.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MBEM","2,U","-11.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MBRN","2,U","-9.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MCLK",",U","-10.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MCSA","2,U","-8.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MDET","2,U","-10.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MEFF",",U","-12.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MELY","2,U","-13.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MFER","2,U","-14.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MHIB","2,U","-12.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MHIL",",U","-10.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MISA","2,U","-13.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MITA","2,U","-11.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MKAB",",U","-13.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MKLL",",U","-12.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MLTF","2,U","-8.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MLTT",",U","-13.0"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MMEA","2,U","-14.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MMLK","2,U","-9.7"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MMOR","2,U","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MORR",",U","-13.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MROS","2,U","-13.5"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MSAG","2,U","-10.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MSEA","2,U","-14.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USR0000MSHE","4,U","-8.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00004994",",R","-13.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014910",",W","-9.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014913",",W","-10.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014918",",W","-14.2"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014922",",W","-7.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014924",",7","-13.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014925",",W","-8.3"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014926",",W","-8.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014927",",W","-7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00014992",",W","-6.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00054932",",R","-9.6"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094931",",W","-11.8"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094938",",W","-9.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094960",",W","-6.9"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094961",",W","-13.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094963",",W","-7.4"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094967","2,W","-11.1"
"","","","2015-01-01T00:00:00","TAVG","GHCND:USW00094992","3,W","-9.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210018",",7","-16.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210059",",7","-15.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210075",",7","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210157",",7","-10.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210190",",7","-13.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210252",",7","-17.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210287",",7","-12.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210355",",7","-13.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210515",",7","-16.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210667",",7","-13.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210809","2,7","-18.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210939",",7","-14.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210974","2,7","-14.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00210989",",7","-18.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211063",",7","-13.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211065",",7","-13.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211074","1,7","-15.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211174",",7","-14.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211198",",7","-13.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211227",",7","-13.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211250",",7","-19.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211263",",7","-11.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211374",",7","-16.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211422","1,7","-18.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211448",",7","-12.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211468",",7","-12.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211630",",7","-15.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211691",",7","-13.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211771",",7","-18.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00211891",",7","-16.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212023",",7","-12.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212088",",7","-12.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212142","1,7","-14.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212146",",7","-16.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212250",",7","-16.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212500",",7","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212555","1,7","-20.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212576",",7","-20.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212645",",7","-17.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212842",",7","-17.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00212881",",7","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213076",",7","-12.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213174","1,7","-13.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213282",",7","-16.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213290",",7","-14.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213296",",7","-17.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213303",",7","-15.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213311",",7","-11.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213417",",7","-21.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213455",",7","-16.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00213567",",7","-12.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214077","1,7","-20.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214093",",7","-17.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214103",",7","-15.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214106","1,7","-17.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214176",",7","-12.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214191","1,7","-19.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214306",",7","-20.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214373",",7","-13.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214418","4,7","-12.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214453",",7","-12.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214534",",7","-11.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214546",",7","-11.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214652","1,7","-16.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214778",",7","-13.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214861",",7","-15.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214884",",7","-12.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214990",",7","-14.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00214994",",7","-12.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215204",",7","-11.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215325",",7","-13.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215392",",7","-14.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215400",",7","-10.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215488",",7","-12.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215563",",7","-13.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215586",",7","-14.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215615",",7","-14.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215638",",7","-14.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215838",",7","-11.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215888",",7","-12.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215902",",7","-15.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00215989","1,7","-19.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216008",",7","-10.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216211",",7","-20.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216276","2,7","-15.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216287",",7","-12.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216547",",7","-13.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216565",",7","-11.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216612",",7","-16.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216654",",7","-13.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216787",",7","-17.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216795",",7","-17.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216822",",7","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216839",",7","-12.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00216920",",7","-14.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217107",",7","-12.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217149",",7","-14.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217184","1,7","-12.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217326",",7","-11.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217379",",Z","-12.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217405",",7","-12.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217460","1,7","-15.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217502",",7","-12.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00217602",",7","-11.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218039",",7","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218227",",7","-13.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218254",",7","-16.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218307","3,7","-18.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218311",",7","-20.0"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218323",",7","-11.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218421",",7","-16.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218450",",7","-12.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218477",",7","-11.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218674",",7","-18.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218692",",7","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218700",",7","-18.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218808",",7","-11.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218907",",7","-14.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218947",",7","-14.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00218986",",7","-14.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219001",",7","-13.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219033",",7","-12.1"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219046",",7","-11.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219072","1,7","-13.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219134",",7","-16.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219170",",7","-11.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219173",",7","-16.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00219249",",7","-13.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00470124","2,7","-10.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00473038",",7","-10.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00477464",",7","-14.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00478349","1,7","-12.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USC00478589","1,7","-11.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MAGA","2,U","-17.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MBAU",",U","-17.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MBDA",",U","-15.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MBEM","2,U","-16.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MBRN","2,U","-13.7"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MCLK",",U","-15.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MCSA","2,U","-12.5"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MDET","2,U","-15.4"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MEFF",",U","-16.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MELY",",U","-18.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MFER","2,U","-17.8"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MHIB","2,U","-16.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MHIL",",U","-14.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MISA","2,U","-17.6"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MITA","2,U","-16.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MKAB",",U","-17.2"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MKLL",",U","-16.9"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MLTF",",U","-13.3"
"","","","2015-02-01T00:00:00","TAVG","GHCND:USR0000MLTT",",U","-17.3"
